1543798231.5137649,peer0.org2.example.com,577kB / 4.39kB,577000,4390

1543798233.538559,peer0.org3.example.com,576kB / 5.26kB,576000,5260
1543798233.538559,peer0.org4.example.com,575kB / 4.93kB,575000,4930
1543798233.538559,orderer.example.com,35kB / 2.84MB,35000,2840000
1543798233.538559,peer0.org1.example.com,577kB / 4.58kB,577000,4580
1543798233.538559,peer0.org5.example.com,576kB / 5.19kB,576000,5190
1543798233.538559,peer0.org2.example.com,577kB / 4.39kB,577000,4390

1543798235.564994,peer0.org3.example.com,577kB / 5.26kB,577000,5260
1543798235.564994,peer0.org4.example.com,575kB / 4.97kB,575000,4970
1543798235.564994,orderer.example.com,44.4kB / 2.85MB,44400,2850000
1543798235.564994,peer0.org1.example.com,579kB / 7.75kB,579000,7750
1543798235.564994,peer0.org5.example.com,577kB / 5.23kB,577000,5230
1543798235.564994,peer0.org2.example.com,579kB / 7.5kB,579000,7500

1543798237.592044,peer0.org3.example.com,579kB / 8.34kB,579000,8340
1543798237.592044,peer0.org4.example.com,577kB / 8.08kB,577000,8080
1543798237.592044,orderer.example.com,50.9kB / 2.85MB,50900,2850000
1543798237.592044,peer0.org1.example.com,583kB / 8.1kB,583000,8100
1543798237.592044,peer0.org5.example.com,579kB / 8.4kB,579000,8400
1543798237.592044,peer0.org2.example.com,579kB / 7.5kB,579000,7500

1543798239.6200864,peer0.org3.example.com,579kB / 8.34kB,579000,8340
1543798239.6200864,peer0.org4.example.com,577kB / 8.08kB,577000,8080
1543798239.6200864,orderer.example.com,50.9kB / 2.85MB,50900,2850000
1543798239.6200864,peer0.org1.example.com,583kB / 8.1kB,583000,8100
1543798239.6200864,peer0.org5.example.com,579kB / 8.4kB,579000,8400
1543798239.6200864,peer0.org2.example.com,579kB / 7.5kB,579000,7500

1543798241.6475384,peer0.org3.example.com,579kB / 8.38kB,579000,8380
1543798241.6475384,peer0.org4.example.com,577kB / 8.12kB,577000,8119
1543798241.6475384,orderer.example.com,51kB / 2.85MB,51000,2850000
1543798241.6475384,peer0.org1.example.com,583kB / 8.14kB,583000,8140
1543798241.6475384,peer0.org5.example.com,579kB / 8.4kB,579000,8400
1543798241.6475384,peer0.org2.example.com,583kB / 7.89kB,583000,7890

1543798243.6734147,peer0.org3.example.com,579kB / 8.38kB,579000,8380
1543798243.6734147,peer0.org4.example.com,577kB / 8.12kB,577000,8119
1543798243.6734147,orderer.example.com,51.1kB / 2.85MB,51100,2850000
1543798243.6734147,peer0.org1.example.com,583kB / 8.14kB,583000,8140
1543798243.6734147,peer0.org5.example.com,579kB / 8.44kB,579000,8440
1543798243.6734147,peer0.org2.example.com,583kB / 7.89kB,583000,7890

1543798245.6997292,peer0.org3.example.com,579kB / 8.38kB,579000,8380
